site_id,unit_id,year,chin,omyk,marked,recaps,non_recaps,chap_est,chap_cv,snk,ft,fnt,pl,ssc,lwd1,lwd2,lwd3,vis1,vis2,vis3,davg
CBW05583-095642,8,2012,0,1,15,7,28,71,0.21,3,0,0,1,0,1,0,0,0,1,0,0.091461144
CBW05583-135615,10,2012,0,1,16,9,16,43,0.16,14,0,0,1,0,1,0,0,0,1,0,0.134097075
CBW05583-142490,6,2012,0,1,6,3,3,11,0.21,5,0,0,1,0,0,1,0,0,1,0,0.13105639
CBW05583-142490,7,2012,0,1,2,1,2,5,0.28,3,1,0,0,0,1,0,0,0,1,0,0.049001765
CBW05583-228666,4,2012,0,1,14,7,7,27,0.16,20,0,0,1,0,1,0,0,1,0,0,0.168494951
CBW05583-228666,6,2012,0,1,1,1,3,4,0,4,1,0,0,0,1,0,0,1,0,0,0.095207943
CBW05583-252730,3,2012,0,1,9,5,4,16,0.16,15,1,0,0,0,1,0,0,0,1,0,0.080357184
CBW05583-252730,5,2012,0,1,7,1,1,11,0.31,4,0,0,1,0,1,0,0,0,1,0,0.225403577
CBW05583-335162,1,2012,0,1,3,1,1,5,0.28,1,0,0,1,0,0,0,1,0,1,0,0.157712033
CBW05583-381866,7,2012,1,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0.20689399
CBW05583-381866,7,2012,0,1,6,3,6,16,0.24,9,1,0,0,0,0,1,0,0,0,1,0.20689399
CBW05583-381866,10,2012,0,1,7,4,0,7,0,0,0,0,1,0,0,0,1,0,0,1,0.283927239
CBW05583-417962,1,2012,0,1,11,2,8,43,0.38,1,1,0,0,0,1,0,0,0,0,1,0.147177545
CBW05583-417962,4,2012,1,0,8,7,26,37,0.1,11,0,0,1,0,1,0,0,0,0,1,0.44901316
CBW05583-417962,4,2012,0,1,6,2,10,29,0.34,0,0,0,1,0,1,0,0,0,0,1,0.44901316
CBW05583-421786,10,2012,0,1,22,9,4,31,0.13,10,0,0,1,0,1,0,0,1,0,0,0.131047571
CBW05583-453946,8,2012,0,1,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0.096363915
CBW05583-453946,9,2012,0,1,3,2,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0.11269432
CBW05583-486202,2,2012,0,1,6,1,4,20,0.42,8,0,0,1,0,0,1,0,0,1,0,0.214864594
CBW05583-486202,5,2012,1,0,9,2,3,19,0.31,3,1,0,0,0,0,0,1,0,1,0,0.116794861
CBW05583-506682,1,2012,1,0,21,10,26,73,0.17,20,0,1,0,0,1,0,0,0,1,0,0.111032323
CBW05583-506682,1,2012,0,1,8,3,10,30,0.29,6,0,1,0,0,1,0,0,0,1,0,0.111032323
CBW05583-506682,4,2012,1,0,13,1,11,90,0.5,46,0,0,1,0,0,0,1,0,1,0,0.266396496
CBW05583-506682,4,2012,0,1,4,2,9,19,0.29,5,0,0,1,0,0,0,1,0,1,0,0.266396496
CBW05583-527786,1,2012,0,1,21,7,14,60,0.22,9,1,0,0,0,1,0,0,0,1,0,0.181282689
CBW05583-527786,4,2012,1,0,13,6,16,45,0.21,27,0,0,1,0,1,0,0,0,1,0,0.333170387
CBW05583-531882,5,2012,1,0,6,2,3,13,0.29,1,0,0,1,0,1,0,0,0,1,0,0.250009973
CBW05583-531882,6,2012,1,0,24,17,8,35,0.07,21,1,0,0,0,1,0,0,0,1,0,0.247312586
CBW05583-531882,6,2012,0,1,28,9,27,106,0.21,27,1,0,0,0,1,0,0,0,1,0,0.247312586
dsgn4-000001,1,2012,1,0,6,5,0,6,0,1,1,0,0,0,1,0,0,0,1,0,0.189983858
dsgn4-000001,1,2012,0,1,19,11,10,36,0.12,5,1,0,0,0,1,0,0,0,1,0,0.189983858
dsgn4-000001,2,2012,1,0,7,1,1,11,0.31,2,0,0,1,0,0,1,0,0,1,0,0.234436142
dsgn4-000001,2,2012,0,1,6,2,7,22,0.33,2,0,0,1,0,0,1,0,0,1,0,0.234436142
dsgn4-000009,2,2012,1,0,14,10,38,66,0.13,36,1,0,0,0,0,1,0,0,0,1,0.151726321
dsgn4-000009,2,2012,0,1,6,3,9,22,0.25,4,1,0,0,0,0,1,0,0,0,1,0.151726321
dsgn4-000093,6,2012,0,1,3,1,13,29,0.39,9,0,1,0,0,1,0,0,0,1,0,0.150766115
dsgn4-000093,7,2012,0,1,14,5,17,56,0.26,15,1,0,0,0,1,0,0,0,1,0,0.093004358
dsgn4-000161,5,2012,0,1,5,4,1,6,0.08,0,0,0,1,0,1,0,0,1,0,0,0.252579109
dsgn4-000161,13,2012,0,1,7,3,4,15,0.24,2,1,0,0,0,1,0,0,1,0,0,0.220868523
dsgn4-000168,9,2012,0,1,6,1,6,27,0.44,6,1,0,0,0,0,0,1,0,1,0,0.142898373
dsgn4-000168,13,2012,0,1,1,1,2,3,0,0,0,0,1,0,0,0,1,0,1,0,0.272815318
dsgn4-000202,6,2012,0,1,5,2,2,9,0.25,0,0,0,1,0,0,1,0,0,0,1,0.387304553
dsgn4-000202,8,2012,1,0,15,11,1,16,0.04,14,1,0,0,0,1,0,0,0,0,1,0.142441028
dsgn4-000202,8,2012,0,1,23,6,7,47,0.21,2,1,0,0,0,1,0,0,0,0,1,0.142441028
dsgn4-000205,7,2012,0,1,14,5,9,36,0.23,11,1,0,0,0,1,0,0,0,1,0,0.162605661
dsgn4-000205,8,2012,0,1,18,4,20,94,0.32,31,0,0,1,0,1,0,0,0,1,0,0.230656157
dsgn4-000213,9,2012,1,0,2,1,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0.083693806
dsgn4-000213,9,2012,0,1,5,2,2,9,0.25,5,1,0,0,0,1,0,0,0,1,0,0.083693806
dsgn4-000245,12,2012,0,1,6,1,4,20,0.42,0,0,0,1,0,1,0,0,0,1,0,0.439952269
ORW03446-059352,3,2012,1,0,3,1,0,3,0,1,0,0,1,0,1,0,0,1,0,0,0.135028919
ORW03446-059352,3,2012,0,1,29,7,13,78,0.23,13,0,0,1,0,1,0,0,1,0,0,0.135028919
ORW03446-059352,5,2012,0,1,30,7,15,88,0.23,22,1,0,0,0,1,0,0,1,0,0,0.083806916
ORW03446-120904,21,2012,0,1,6,1,2,13,0.37,6,0,0,1,0,1,0,0,1,0,0,0.149896103
ORW03446-130030,7,2012,0,1,15,5,11,44,0.25,11,1,0,0,0,1,0,0,0,1,0,0.07039898
ORW03446-130030,10,2012,0,1,15,9,8,28,0.13,13,0,0,1,0,1,0,0,0,1,0,0.137637035
